Subject ID,True_block,Trial_type,Group,Accuracy,Reaction_time
098A8,3,incongruent,A,1,0.393829651
098A8,3,incongruent,A,1,0.556278475
098A8,3,congruent,A,1,0.458009223
00F3F,1,incongruent,A,0,0.12294511
00F3F,1,incongruent,A,1,0.5119809
00F3F,1,congruent,A,1,0.267588222
00F3F,1,congruent,A,1,0.312831656
00F3F,1,congruent,A,1,0.350180965
00F3F,1,incongruent,A,1,0.309794202
00F3F,1,incongruent,A,1,0.369516425
00F3F,1,incongruent,A,1,0.366701053
00F3F,1,incongruent,A,1,0.40031898
00F3F,1,congruent,A,1,0.377295553
00F3F,1,congruent,A,1,0.388276955
00F3F,1,congruent,A,1,0.337550118
00F3F,2,incongruent,A,1,0.523775678
00F3F,2,incongruent,A,1,0.55093304
00F3F,2,incongruent,A,1,0.363781395
00F3F,2,congruent,A,1,0.414581774
00F3F,2,incongruent,A,1,0.33378866
00F3F,2,incongruent,A,1,0.35488823
00F3F,2,congruent,A,1,0.307816329
00F3F,2,congruent,A,1,0.340083724
00F3F,2,congruent,A,1,0.259321417
00F3F,2,congruent,A,1,0.294235023
00F3F,2,incongruent,A,1,0.254669291
00F3F,2,congruent,A,1,0.336581625
00F3F,3,congruent,A,1,0.306868797
00F3F,3,congruent,A,1,0.404089554
00F3F,3,congruent,A,1,0.27558764
00F3F,3,congruent,A,1,0.322512892
00F3F,3,incongruent,A,1,0.288656526
00F3F,3,incongruent,A,1,0.30429649
00F3F,3,incongruent,A,1,0.462512729
00F3F,3,congruent,A,1,0.307304724
00F3F,3,incongruent,A,1,0.31279806
00F3F,3,congruent,A,1,0.327479004
00F3F,3,incongruent,A,1,0.351501694
00F3F,3,incongruent,A,1,0.2836222
107D7,1,incongruent,A,1,0.8694382
107D7,1,congruent,A,1,0.134882344
107D7,1,congruent,A,1,0.35771606
107D7,1,incongruent,A,0,0.271451532
107D7,1,incongruent,A,1,0.313756208
107D7,1,congruent,A,1,0.437547039
107D7,1,congruent,A,1,0.375508041
107D7,1,incongruent,A,1,0.41523566
107D7,1,congruent,A,1,0.354991686
107D7,1,incongruent,A,1,0.364626124
107D7,1,congruent,A,1,0.427246662
107D7,1,incongruent,A,1,0.400843258
107D7,2,congruent,A,1,0.480942412
107D7,2,congruent,A,1,0.298828224
107D7,2,incongruent,A,1,0.398076922
107D7,2,incongruent,A,1,0.26581713
107D7,2,incongruent,A,1,0.383391552
107D7,2,incongruent,A,1,0.268416094
107D7,2,incongruent,A,1,0.29350592
107D7,2,congruent,A,1,0.469614582
107D7,2,congruent,A,1,0.444931954
107D7,2,congruent,A,1,0.321931874
107D7,2,incongruent,A,1,0.360505784
107D7,2,congruent,A,1,0.386050778
107D7,3,incongruent,A,1,0.28590081
107D7,3,incongruent,A,1,0.416635908
107D7,3,congruent,A,1,0.324266581
107D7,3,incongruent,A,1,0.47891134
107D7,3,congruent,A,1,0.376546742
107D7,3,incongruent,A,1,0.294261796
107D7,3,incongruent,A,1,0.427352514
107D7,3,congruent,A,1,0.374363374
107D7,3,incongruent,A,1,0.352060532
107D7,3,congruent,A,1,0.465924294
107D7,3,congruent,A,1,0.26660653
107D7,3,congruent,A,1,0.283872814
1Y821,1,congruent,B,1,0.143820556
1Y821,1,congruent,B,1,0.664155316
1Y821,1,incongruent,B,0,0.164329185
1Y821,1,congruent,B,1,0.17841558
1Y821,1,incongruent,B,0,0.762376855
1Y821,1,incongruent,B,1,0.80682281
1Y821,1,incongruent,B,0,0.309426311
1Y821,1,incongruent,B,1,0.612859862
1Y821,1,congruent,B,1,0.63660264
1Y821,1,incongruent,B,1,0.853428233
1Y821,1,congruent,B,1,0.736868869
1Y821,1,congruent,B,1,0.501462613
1Y821,2,congruent,B,1,0.728297007
1Y821,2,incongruent,B,1,0.360298597
1Y821,2,congruent,B,1,0.703683413
1Y821,2,congruent,B,1,0.428011497
1Y821,2,incongruent,B,1,0.657514866
1Y821,2,incongruent,B,1,0.395178177
1Y821,2,congruent,B,1,0.383010807
1Y821,2,incongruent,B,1,0.53729144
